t_name,max_participants,price,t_type,area,accessibility,t_level
Ancestral Avenues,17,74,Sightseeing,Scottish Highlands,1,3
Cultural Crossroads,46,100,Sightseeing,Seoul City,0,4
The Folklore Follow,22,98,Hiking,Jerusalem Old City,1,2
Dynasty Discovery,22,157,Hiking,Santorini,0,5
Empire Eras,49,125,Sightseeing,Prague Castle District,0,5
Medieval Mysteries,17,20,Sightseeing,Dublin Liberties,1,4
Renaissance Revelations,22,85,Hiking,Grand Canyon,1,2
Colonial Chronicles,19,19,Sightseeing,Dubai Marina,1,2
Landmark Lore,43,129,Sightseeing,Tokyo Shibuya,1,1
The Museum Mile,17,188,Sightseeing,Florence,0,1
Monumental Moments,46,5,Sightseeing,Prague Castle District,1,2
Sacred Sites,34,19,Hiking,Florence,0,2
Temple Trails,38,74,Hiking,Kyoto Temples,0,5
Cathedral Corners,29,196,Sightseeing,Tokyo Shibuya,0,5
Fortress Finds,47,6,Hiking,Barcelona Gothic Quarter,1,3
Castle Conquest,25,175,Hiking,Sydney Harbour,0,4
Palace Perspectives,33,155,Hiking,Barcelona Las Ramblas,1,3
Ruins & Relics,10,101,Sightseeing,Tokyo Shibuya,0,5
Antique Adventures,44,71,Hiking,Athens Acropolis,0,4
The Golden Age,35,75,Hiking,Munich Old Town,0,4
Vintage Voyage,26,140,Hiking,Tokyo Shibuya,0,2
Retro Road,46,149,Hiking,Cairo Giza,1,2
Classic Culture,34,47,Sightseeing,New Orleans,1,2
The Patriot Path,26,191,Sightseeing,Jerusalem Old City,0,1
Liberty Lane,50,203,Hiking,London South Bank,0,1
Freedom Frontier,39,11,Hiking,Grand Canyon,0,2
War & Peace Walk,37,40,Sightseeing,Bali Jungles,1,4
Industrial Icons,45,206,Hiking,Kyoto Temples,0,3
Victorian Views,45,3,Sightseeing,Patagonia,0,2
Baroque Beauty,42,144,Sightseeing,Barcelona Gothic Quarter,0,3
Gothic Glories,39,78,Sightseeing,Vienna City Center,1,4
Ancient Artifacts,25,128,Sightseeing,French Quarter,1,5
Tribal Tracks,10,180,Sightseeing,French Quarter,1,2
Indigenous Insight,48,191,Hiking,Berlin Mitte,1,5
The Tradition Trail,21,212,Sightseeing,Lisbon Hills,1,5
Masterpiece Morning,19,191,Hiking,Venice Canals,1,2
Gallery Gazing,36,143,Hiking,Tokyo Shibuya,0,5
Curated Culture,12,134,Hiking,Venice Canals,1,5
Heritage Hues,42,202,Hiking,Tel Aviv Coastline,0,2
The History Hut,38,130,Hiking,Dublin Liberties,1,4
Epoch Explorations,30,134,Sightseeing,Scottish Highlands,0,5
Century Circuit,38,76,Sightseeing,Florence,1,2
Time Traveler’s Trek,38,45,Sightseeing,Vancouver Waterfront,1,4
Wild Wanderer,15,148,Hiking,Hong Kong Island,0,2
Nature’s Nook,49,164,Hiking,Tel Aviv Coastline,1,4
Forest Frontiers,20,171,Sightseeing,Old Town Prague,0,1
Mountain Majesty,27,46,Hiking,Barcelona Las Ramblas,0,5
Valley Views,12,2,Hiking,Berlin Mitte,1,5
Canyon Conquest,37,13,Sightseeing,Reykjavik,0,1
River Rapids,21,197,Sightseeing,Prague Castle District,1,3
Lake Liberty,16,37,Hiking,Jerusalem Old City,1,1
Ocean Odysseys,21,241,Sightseeing,Dubai Marina,1,1
Coastal Currents,36,177,Hiking,New Orleans,0,5
Island Intervals,15,219,Hiking,Swiss Alps,0,3
Jungle Jaunt,34,58,Hiking,Grand Canyon,1,5
Safari Solitude,34,100,Sightseeing,London South Bank,1,3
Desert Dreams,39,139,Hiking,Sydney Harbour,0,3
Oasis Observations,32,84,Hiking,Old Town Prague,1,5
Summit Seekers,45,135,Sightseeing,Paris Montmartre,0,5
Trailblazer Tracks,28,214,Sightseeing,Old Town Prague,1,4
Backcountry Bliss,24,86,Hiking,New Orleans,1,3
Wilderness Way,32,36,Hiking,Bali Jungles,0,1
Flora & Fauna,10,106,Hiking,Dublin Liberties,1,4
Botanical Best,36,208,Sightseeing,New Orleans,0,1
Garden Glimpse,18,44,Sightseeing,Vienna City Center,1,5
Bloom & Blossom,35,104,Hiking,Machu Picchu,0,1
Sunrise Safari,41,85,Sightseeing,Yosemite Valley,1,1
Sunset Serenity,41,249,Sightseeing,French Quarter,1,4
Starlight Sojourn,33,15,Hiking,Central Park,1,5
Moonlight Meadow,19,193,Hiking,Yosemite Valley,1,2
Eco-Explorer,33,2,Sightseeing,Edinburgh Royal Mile,0,1
Green Getaway,16,48,Sightseeing,Vancouver Waterfront,0,5
Sustainable Steps,11,179,Sightseeing,Madrid Center,1,5
The Great Outdoors,22,7,Hiking,Athens Acropolis,1,1
Peak Performance,49,172,Sightseeing,Santorini,0,3
Ridge Runner,48,248,Hiking,Swiss Alps,1,4
Meadow Muse,15,18,Sightseeing,Barcelona Las Ramblas,0,1
Waterfall Wonders,30,99,Sightseeing,Singapore Marina,1,3
Stream Side Saunter,18,5,Sightseeing,Cairo Giza,0,5
Marshland Magic,10,164,Hiking,Bali Jungles,0,3
Coastal Cliffs,13,42,Hiking,San Francisco Bay,1,2
Sandy Shores,46,50,Sightseeing,Manhattan,1,2
Reef Revelations,29,92,Hiking,Cape Town Coast,1,1
Arctic Adventures,15,106,Hiking,Amalfi Coast,1,3
Tundra Trails,46,51,Sightseeing,Jerusalem Old City,0,3
Savanna Stroll,31,83,Sightseeing,Central Park,0,3
Rainforest Rhythms,25,249,Sightseeing,Yosemite Valley,0,4
Woodland Walk,37,99,Hiking,Munich Old Town,0,3
Pine Path,37,76,Sightseeing,Lisbon Hills,1,1
Highland Hike,18,33,Hiking,Central Park,0,1
Lowland Loop,21,20,Sightseeing,Venice Canals,1,5
Earthly Escapes,36,174,Sightseeing,London South Bank,1,2
Horizon Hunt,30,234,Sightseeing,Vancouver Waterfront,0,1
Taste Buds Tour,17,20,Sightseeing,Munich Old Town,0,2
Culinary Conquest,22,17,Sightseeing,Amalfi Coast,1,4
Gourmet Gazette,18,153,Hiking,Tokyo Shibuya,1,2
Flavor Fusion,14,101,Hiking,Tel Aviv Coastline,1,1
Savory Steps,38,105,Sightseeing,Paris Montmartre,0,5
Sweet Street,19,59,Hiking,Swiss Alps,1,2
Pastry Path,15,180,Sightseeing,Prague Castle District,1,5
Baker’s Best,41,166,Hiking,Cairo Giza,0,1
The Spice Route,50,46,Sightseeing,Munich Old Town,0,4
Market Munchies,43,15,Hiking,Swiss Alps,0,3
Farm to Fork,17,72,Hiking,Tel Aviv Coastline,0,5
Vineyard Voyage,47,248,Hiking,Machu Picchu,0,3
Winery Wonders,25,240,Hiking,Singapore Marina,0,5
Brewery Best,45,208,Hiking,Petra,0,5
Pub Crawl Classics,20,2,Hiking,Lisbon Hills,1,1
Coffee Culture,38,226,Hiking,Amsterdam Canals,0,4
Tea Time Trails,44,187,Sightseeing,Grand Canyon,0,1
Street Food Safari,22,67,Sightseeing,Kyoto Temples,0,2
Local Larder,11,245,Hiking,Istanbul Sultanahmet,0,5
Chef’s Choice,15,241,Hiking,Machu Picchu,0,2
Kitchen Kingdom,21,220,Hiking,Athens Acropolis,0,4
Epicurean Escape,36,191,Hiking,Old Town Prague,1,5
The Tasting Table,36,86,Sightseeing,Vienna City Center,0,4
Gastronomy Guide,10,38,Hiking,Istanbul Sultanahmet,1,1
Artisan Appetizers,37,153,Sightseeing,Madrid Center,1,1
Cheese Circuit,49,221,Hiking,Berlin Mitte,1,4
Chocolate Chaser,15,231,Hiking,Old Town Prague,1,1
Dessert Discovery,15,236,Hiking,Swiss Alps,1,1
Seafood Sojourn,34,100,Hiking,Yosemite Valley,0,5
BBQ Belt,13,112,Sightseeing,Grand Canyon,1,5
Vegan Ventures,12,197,Hiking,Barcelona Las Ramblas,1,4
Organic Outing,27,114,Hiking,Swiss Alps,1,1
Exotic Eats,27,241,Sightseeing,Barcelona Las Ramblas,0,2
Traditional Tastes,29,200,Sightseeing,Cape Town Coast,0,4
Fusion Finds,31,124,Hiking,Provence,1,1
Brunch Bunch,43,82,Sightseeing,Tokyo Shibuya,1,4
Dinner District,30,83,Hiking,Santorini,1,1
Morning Morsels,16,50,Sightseeing,Florence,1,2
Nightcap Nibbles,33,91,Sightseeing,Dubai Marina,1,5
Picnic Parade,10,21,Hiking,Seoul City,0,2
Orchard Outing,13,98,Hiking,Petra,1,1
Berry Best,15,205,Hiking,Venice Canals,1,2
Harvest Highlights,16,39,Sightseeing,Santorini,0,3
Fermentation Find,25,63,Sightseeing,Lisbon Hills,1,5
Distilled Dreams,19,209,Hiking,Dublin Liberties,1,3
Sommelier’s Secret,35,227,Hiking,New Orleans,0,1
Tapas Trek,47,124,Sightseeing,Venice Canals,0,4
Noodle Night,44,61,Hiking,Patagonia,0,4
Pizza Path,14,6,Sightseeing,Old Town Prague,1,5
The Full Plate,49,195,Sightseeing,Barcelona Gothic Quarter,0,1
Artistic Avenues,24,165,Hiking,Petra,0,3
Creative Corners,23,115,Hiking,French Quarter,1,2
Mural Magic,22,156,Hiking,Amalfi Coast,0,2
Graffiti Gaze,44,240,Sightseeing,Patagonia,1,5
Sculpture Safari,14,249,Sightseeing,Petra,1,5
Studio Steps,39,41,Sightseeing,Machu Picchu,0,2
Gallery Glow,38,37,Sightseeing,Petra,1,5
Masterpiece Muse,47,188,Hiking,Santorini,1,5
Design District,48,195,Hiking,Vienna City Center,0,2
Crafty Circuit,42,232,Sightseeing,Istanbul Sultanahmet,1,4
Canvas Culture,46,102,Hiking,Grand Canyon,0,2
Palette Path,48,241,Sightseeing,Amalfi Coast,0,3
Brushstroke Best,35,195,Hiking,Petra,0,1
Abstract Adventures,39,155,Hiking,Madrid Center,0,1
Surrealism Sojourn,37,50,Sightseeing,Hong Kong Island,1,2
Modern Muse,35,60,Hiking,Old Town Prague,0,1
Classic Canvas,13,121,Hiking,Berlin Mitte,0,5
Portrait Parade,48,186,Hiking,Berlin Mitte,0,4
Landscape Lore,27,72,Sightseeing,Cairo Giza,0,3
Photography Phantoms,31,79,Sightseeing,Venice Canals,1,3
Snapshot Safari,43,213,Hiking,Amalfi Coast,0,1
Visual Voyage,38,85,Hiking,Venice Canals,0,4
Aesthetic Arc,38,36,Hiking,Provence,1,2
Color Conquest,10,77,Hiking,Dubai Marina,1,1
Pattern Path,15,170,Sightseeing,Bali Jungles,1,4
Texture Trails,43,105,Sightseeing,Dublin Liberties,1,2
Artisan Alley,10,31,Sightseeing,Provence,0,2
Maker’s Mile,50,40,Sightseeing,Berlin Mitte,0,3
Handcrafted Highlights,10,50,Hiking,Berlin Mitte,0,1
Pottery Path,25,229,Hiking,Dublin Liberties,1,4
Textile Trek,44,231,Hiking,Santorini,1,5
Fashion Frontier,47,239,Sightseeing,Jerusalem Old City,1,2
Runway Routes,31,170,Hiking,Cairo Giza,1,2
Style Saunter,27,97,Hiking,Prague Castle District,1,3
Vogue Voyage,39,39,Hiking,Dublin City,1,3
Cinema Circuit,39,235,Hiking,Cairo Giza,0,2
Hollywood Hunt,27,30,Hiking,Madrid Center,0,3
Film Frame Follow,36,174,Sightseeing,Amalfi Coast,1,2
Musical Magic,49,154,Hiking,Dubai Marina,0,3
Rhythm Routes,39,103,Sightseeing,Vancouver Waterfront,0,1
Jazz Jaunt,45,43,Hiking,Tel Aviv Coastline,0,3
Rock & Roll Road,44,4,Hiking,Dublin Liberties,1,4
Operatic Odyssey,40,6,Sightseeing,Madrid Center,0,4
Theater Thrills,11,60,Sightseeing,Tel Aviv Coastline,0,5
Broadway Best,13,123,Hiking,Venice Canals,1,3
Backstage Bliss,40,16,Hiking,Florence,0,2
Performance Path,13,9,Sightseeing,London South Bank,1,5
Creative Currents,50,49,Sightseeing,Tel Aviv Coastline,1,1
Inspiration Island,40,234,Hiking,Rome City Center,1,3
Visionary Views,29,14,Sightseeing,Singapore Marina,0,2
Ghostly Gaze,29,37,Sightseeing,Petra,1,2
Haunted Highlights,17,3,Sightseeing,Hong Kong Island,0,3
Phantom Path,50,122,Hiking,Dublin Liberties,1,5
Mystery Mile,43,72,Hiking,Cairo Giza,0,5
Shadow Sojourn,38,70,Sightseeing,Athens Acropolis,0,4
Midnight Murmurs,37,155,Hiking,Dublin Liberties,0,5
Cryptic Circuit,32,165,Hiking,Cairo Giza,1,1
Dark District,32,84,Sightseeing,Provence,0,5
Eerie Echoes,34,74,Sightseeing,Swiss Alps,0,2
Spooky Steps,39,227,Sightseeing,Barcelona Las Ramblas,1,4
Spirits of the Past,27,26,Hiking,Grand Canyon,1,5
Legend Lore,10,215,Hiking,Tel Aviv Coastline,1,2
Mythic Moments,49,195,Sightseeing,Sydney Harbour,1,1
Twilight Trails,22,26,Sightseeing,Scottish Highlands,0,3
After Dark Adventures,23,57,Sightseeing,Istanbul Sultanahmet,1,3
Moonlit Mysteries,32,81,Sightseeing,Yellowstone Park,1,4
Foggy Frontier,42,68,Sightseeing,Manhattan,1,3
Chilling Chronicles,23,168,Sightseeing,Amsterdam Canals,1,2
Paranormal Parade,34,171,Hiking,Edinburgh Royal Mile,0,1
Supernatural Saunter,36,134,Hiking,Cairo Giza,1,4
Gothic Ghost Walk,27,159,Hiking,Edinburgh Royal Mile,0,3
Cemetery Secrets,13,16,Sightseeing,Seoul City,0,3
Tombstone Tales,31,19,Hiking,French Quarter,1,4
Ancient Anathemata,37,51,Sightseeing,Florence,0,3
Forbidden Finds,12,242,Hiking,Hong Kong Island,1,2
Secret Societies,35,122,Sightseeing,Vancouver Waterfront,1,2
Hidden History,20,185,Hiking,Grand Canyon,0,4
Masked Magic,48,240,Hiking,Edinburgh Royal Mile,0,3
Illusion Island,16,1,Sightseeing,Barcelona Gothic Quarter,0,3
Enigma Escape,18,59,Sightseeing,Venice Canals,1,4
Puzzling Path,43,68,Hiking,Amsterdam Canals,1,2
Riddle Routes,10,224,Hiking,Amsterdam Canals,0,2
Crime & Consequence,23,192,Sightseeing,New Orleans,1,3
Detective District,19,85,Hiking,Rome City Center,1,5
Noir Night,45,196,Hiking,Vienna City Center,0,1
Sleuth Steps,41,136,Sightseeing,Manhattan,0,5
Underworld Unveiled,38,239,Hiking,Dublin City,1,3
Rogue Roads,15,112,Hiking,Berlin Mitte,0,4
Outlaw Odysseys,12,190,Sightseeing,Barcelona Gothic Quarter,0,3
Pirate’s Path,49,55,Sightseeing,Amsterdam Canals,1,3
Smuggler’s Secret,43,104,Sightseeing,Berlin Mitte,0,5
Bandit Best,19,210,Sightseeing,Rome City Center,0,5
Cursed Corners,27,15,Hiking,Reykjavik,1,4
Bewitched Boulevard,15,96,Hiking,Lisbon Hills,0,2
Sorcerer’s Sojourn,13,216,Hiking,Petra,1,3
Alchemist’s Arc,18,0,Sightseeing,Jerusalem Old City,0,1
Mystical Muse,43,120,Sightseeing,French Quarter,0,5
Oracle Outing,28,159,Hiking,New Orleans,0,3
Tarot Trails,23,73,Sightseeing,Cairo Giza,0,4
Zodiac Zigzag,44,217,Sightseeing,Dublin City,0,5
Pedal Power,31,93,Hiking,Rome City Center,1,3
Cycle Circuit,11,110,Sightseeing,Amalfi Coast,1,5
Bike & Brew,29,106,Sightseeing,Yosemite Valley,0,2
Two-Wheel Trek,13,74,Hiking,Tel Aviv Coastline,0,4
Rolling Routes,48,75,Sightseeing,Cairo Giza,0,4
Jogger’s Jaunt,22,145,Hiking,Rome City Center,0,4
Marathon Mile,28,167,Sightseeing,Venice Canals,1,2
Sprint Steps,28,165,Sightseeing,Bali Jungles,0,4
Active Adventures,41,128,Sightseeing,Dubai Marina,1,3
Fitness Frontier,27,42,Hiking,Scottish Highlands,1,2
Wellness Walk,42,66,Sightseeing,Florence,1,2
Yoga Yard,27,3,Hiking,Yellowstone Park,0,2
Zen Zone,17,94,Hiking,Hong Kong Island,1,5
Mindful Movements,19,16,Hiking,San Francisco Bay,1,2
Serenity Steps,26,18,Hiking,Central Park,0,4
Kayak Quest,41,0,Sightseeing,Yosemite Valley,0,5
Paddle Path,21,142,Sightseeing,Manhattan,1,1
Surf & Sand,34,136,Sightseeing,Lisbon Hills,0,5
Sail Away,32,116,Hiking,Dublin Liberties,1,1
Nautical Night,23,95,Sightseeing,Yellowstone Park,0,3
Skateboard Safari,47,130,Sightseeing,Jerusalem Old City,0,1
Rollerblade Routes,29,137,Sightseeing,Dublin Liberties,1,3
Climb & Conquer,48,178,Sightseeing,Berlin Mitte,1,1
Bouldering Best,48,19,Hiking,Grand Canyon,0,3
High-Wire Hike,18,22,Sightseeing,Vienna City Center,1,1
Zip-Line Zeal,17,80,Hiking,Grand Canyon,0,2
Paraglide Path,32,169,Sightseeing,Scottish Highlands,0,4
Balloon Best,50,116,Hiking,Prague Castle District,0,5
Aerial Adventures,21,97,Hiking,Tokyo Shibuya,0,2
Skydiving Sojourn,50,114,Sightseeing,Rome City Center,1,4
Deep Sea Discovery,27,205,Hiking,Edinburgh Royal Mile,0,2
Snorkel Steps,40,95,Hiking,Central Park,0,1
Scuba Safari,46,6,Hiking,Florence,0,4
Underwater Universe,36,224,Sightseeing,Scottish Highlands,1,4
Snowshoe Sojourn,12,172,Sightseeing,Berlin Mitte,1,3
Ski Slope Safari,36,38,Hiking,Berlin Mitte,0,3
Ice Rink Routes,46,191,Hiking,Jerusalem Old City,1,4
Winter Wonderland,38,66,Hiking,Tel Aviv Coastline,0,5
Sporty Spectacle,16,246,Hiking,Berlin Mitte,0,1
Stadium Stars,12,179,Sightseeing,Sydney Harbour,1,5
Arena Arc,18,184,Hiking,Prague Castle District,1,4
Game Day Glimpse,49,163,Sightseeing,Hong Kong Island,0,4
Fan Frontier,48,14,Sightseeing,Petra,1,1
Goal Line Gaze,20,13,Sightseeing,Paris Montmartre,1,3
Court Side Circuit,27,47,Sightseeing,Madrid Center,0,1
Pitch Perspectives,10,189,Sightseeing,Cairo Giza,1,5
Olympic Odyssey,13,208,Hiking,Dubai Marina,1,3
Champion’s Choice,29,71,Sightseeing,Yosemite Valley,1,2
Victory Voyage,42,187,Hiking,Kyoto Temples,1,2
Endurance Escape,44,248,Sightseeing,Seoul City,0,3
Family Fun Fest,14,183,Hiking,Singapore Marina,1,5
Kid-Friendly Kingdom,19,189,Hiking,Munich Old Town,0,4
Playful Path,50,138,Hiking,Reykjavik,1,5
Toy Town Tour,29,72,Hiking,Kyoto Temples,1,2
Magic Mile,46,133,Sightseeing,Florence,0,2
Wonderland Walk,17,119,Hiking,Vienna City Center,0,1
Fantasy Frontier,12,111,Hiking,Swiss Alps,0,4
Fairy Tale Follow,47,27,Sightseeing,Santorini,0,1
Storybook Steps,37,202,Sightseeing,Amalfi Coast,1,4
Animal Adventures,37,90,Sightseeing,Sydney Harbour,1,4
Zoo Zone,10,38,Sightseeing,Barcelona Gothic Quarter,1,1
Aquarium Arc,17,245,Sightseeing,Lisbon Hills,0,2
Petting Path,49,211,Hiking,Dubai Marina,1,3
Wildlife Watch,44,213,Sightseeing,Bali Jungles,0,1
Picnic Party,31,162,Hiking,Paris Montmartre,1,2
Playground Parade,25,74,Sightseeing,Munich Old Town,1,2
Carnival Circuit,11,92,Hiking,Vienna City Center,1,1
Fairground Finds,42,90,Hiking,Prague Castle District,1,2
Theme Park Thrills,45,194,Sightseeing,Grand Canyon,0,2
Rollercoaster Routes,45,188,Sightseeing,New Orleans,1,1
Candy Cane Lane,26,90,Hiking,Hong Kong Island,0,4
Sweet Shop Sojourn,44,85,Hiking,Manhattan,0,5
Ice Cream Island,18,37,Sightseeing,Munich Old Town,1,1
Balloon Boulevard,33,107,Hiking,Tel Aviv Coastline,0,4
Circus Celebrations,36,20,Hiking,San Francisco Bay,0,4
Puppet Parade,22,142,Hiking,French Quarter,1,3
Toy Box Trek,48,4,Sightseeing,Dublin City,0,2
Game On Garden,49,5,Hiking,Yellowstone Park,0,3
Puzzle Park,13,81,Sightseeing,Santorini,1,5
Maze Magic,50,8,Sightseeing,Dubai Marina,0,4
Science Secrets,21,215,Hiking,Patagonia,0,5
Discovery District,28,220,Hiking,French Quarter,0,3
Inventor’s Island,43,194,Hiking,Madrid Center,1,5
Robot Routes,21,76,Sightseeing,Athens Acropolis,1,1
Space Safari,19,114,Sightseeing,Venice Canals,1,3
Planetarium Path,48,154,Hiking,Lisbon Hills,1,1
Rocket Road,44,79,Hiking,Sydney Harbour,1,4
Dino Discovery,13,103,Sightseeing,Patagonia,0,1
Fossil Find,38,225,Sightseeing,Grand Canyon,0,5
Prehistoric Path,50,150,Hiking,Rome City Center,0,5
Knight’s Quest,30,245,Hiking,Reykjavik,1,5
Princess Parade,33,58,Sightseeing,Athens Acropolis,0,3
Wizard’s Walk,23,126,Hiking,Cairo Giza,0,4
Superhero Steps,49,143,Hiking,Athens Acropolis,1,4
Cartoon Circuit,50,175,Hiking,Athens Acropolis,0,4
Hobby Horse Hunt,10,64,Hiking,Yellowstone Park,1,1
Kite Krusade,32,122,Hiking,Vienna City Center,0,4
Bubble Boulevard,24,45,Hiking,French Quarter,0,2
Treasure Trove,47,94,Sightseeing,Barcelona Las Ramblas,0,3
Gold Mine Gaze,45,121,Hiking,Patagonia,1,4
Luxury Lane,30,228,Sightseeing,Jerusalem Old City,0,5
Elegant Escapes,19,231,Hiking,Tel Aviv Coastline,1,4
Posh Path,31,169,Hiking,Edinburgh Royal Mile,1,4
Diamond District,11,6,Hiking,Amsterdam Canals,1,3
Golden Glimpse,28,74,Hiking,Singapore Marina,1,2
Velvet Voyage,47,217,Hiking,London South Bank,1,1
Silk Road Saunter,21,91,Hiking,Swiss Alps,1,1
High Society Sojourn,43,100,Sightseeing,Athens Acropolis,0,1
Boutique Best,26,169,Hiking,Munich Old Town,1,2
Retail Revelations,21,241,Hiking,Munich Old Town,1,3
Shopaholic Safari,15,86,Sightseeing,Yellowstone Park,0,3
Window Shopping Walk,41,224,Sightseeing,Yellowstone Park,0,2
Fashion Forward,10,24,Sightseeing,Amalfi Coast,0,3
Glamour Gaze,38,187,Sightseeing,Amsterdam Canals,1,5
Spa Serenity,17,241,Hiking,Barcelona Las Ramblas,1,1
Wellness Wonders,49,227,Sightseeing,Cairo Giza,0,2
Retreat Routes,14,124,Hiking,Florence,0,3
Relaxation Road,45,93,Hiking,Paris Montmartre,1,4
Tranquility Trail,49,247,Sightseeing,Tel Aviv Coastline,0,4
Bliss Boulevard,33,177,Hiking,Edinburgh Royal Mile,1,5
Resort Revelations,13,194,Hiking,Edinburgh Royal Mile,1,3
Hotel Highlights,33,52,Sightseeing,Prague Castle District,0,4
Manor Muse,42,120,Sightseeing,Yosemite Valley,0,4
Estate Explorations,47,12,Hiking,French Quarter,1,4
Mansion Magic,26,179,Sightseeing,Seoul City,0,1
Penthouse Perspectives,24,193,Hiking,Amsterdam Canals,0,2
Yacht Yard,50,36,Hiking,Seoul City,0,3
Limousine Lore,46,72,Sightseeing,Rome City Center,1,2
First Class Follow,41,47,Sightseeing,Berlin Mitte,1,3
Elite Escapades,50,78,Sightseeing,Seoul City,1,1
Private Paradise,30,232,Sightseeing,Jerusalem Old City,1,1
Exclusive Echoes,39,200,Hiking,Reykjavik,1,2
Hidden Gems,33,13,Hiking,Lisbon Hills,0,3
Secret Sanctuary,45,70,Hiking,Santorini,1,3
Quiet Quarters,14,210,Sightseeing,Cape Town Coast,1,3
Peaceful Path,50,152,Hiking,Tokyo Shibuya,1,4
Serene Sojourn,21,146,Hiking,Hong Kong Island,1,5
Calm Currents,44,7,Hiking,Machu Picchu,1,2
Gentle Gaze,28,197,Hiking,Madrid Center,0,3
Leisurely Loop,39,246,Sightseeing,Cairo Giza,0,5
Slow Lane Saunter,19,223,Hiking,Santorini,1,4
Easy Breezy,10,32,Hiking,Madrid Center,1,5
Sunny Side Up,12,245,Sightseeing,Patagonia,0,5
Carefree Circuit,32,97,Sightseeing,Central Park,1,5
Happy Hour Hunt,33,235,Hiking,Reykjavik,0,4
Sunset Spirits,18,180,Sightseeing,London South Bank,0,3
Twilight Toast,15,191,Sightseeing,Machu Picchu,0,4
Evening Elegance,15,149,Sightseeing,Seoul City,0,5
Nightfall Nuances,38,227,Sightseeing,Madrid Center,1,1
Dreamy Destinations,33,126,Hiking,Jerusalem Old City,0,5
Oddity Odyssey,50,200,Hiking,Hong Kong Island,1,1
Peculiar Path,46,54,Sightseeing,Grand Canyon,0,5
Strange Steps,26,70,Sightseeing,Berlin Mitte,0,2
